sample_id,sample_type,top_bottom,latitude,longitude,mountain_range,depth_cm,site_name,notes
SNOTEL.IOANA_H1,soil,,,,,,,
SNOTEL.IOANA_H12,blank,,,,,,,
SNOTEL.IOANA_H2,soil,,,,,,,
SNOTEL.IOANA_H3,soil,,,,,,,
SNOTEL.IOANA_H4,soil,,,,,,,
SNOTEL.IOANA_H5,soil,,,,,,,
SNOTEL.IOANA_H6,soil,,,,,,,
SNOTEL.IOANA_H7,soil,,,,,,,
SNOTEL.IOANA_H8,soil,,,,,,,
SNOTEL.IOANA_H9,soil,,,,,,,
Calder.33_1_4_DNA,sediment,,,,,,,
Calder.34_1_0_DNA,sediment,,,,,,,
Calder.34_1_16_DNA,sediment,,,,,,,
Calder.34_1_18_DNA,sediment,,,,,,,
Calder.34_1_2_DNA,sediment,,,,,,,
Calder.34_1_20_DNA,sediment,,,,,,,
Calder.34_1_4_DNA,sediment,,,,,,,
Calder.35_1_0_DNA,sediment,,,,,,,
Calder.35_1_2_DNA,sediment,,,,,,,
Calder.35_1_4_DNA,sediment,,,,,,,
Calder.35_2_0_DNA,sediment,,,,,,,
Calder.35_2_2_DNA,sediment,,,,,,,
Calder.35_2_4_DNA,sediment,,,,,,,
Calder.36_1_0_DNA,sediment,,,,,,,
Calder.36_1_18_DNA,sediment,,,,,,,
Calder.36_1_2_DNA,sediment,,,,,,,
Calder.36_1_20_DNA,sediment,,,,,,,
Calder.36_1_4_DNA,sediment,,,,,,,
Calder.37_1_0_DNA,sediment,,,,,,,
Calder.37_1_4_DNA,sediment,,,,,,,
Calder.39_1_16_DNA,sediment,,,,,,,
Calder.39_1_2_DNA,sediment,,,,,,,
Calder.39_1_20_DNA,sediment,,,,,,,
Calder.39_1_4_DNA,sediment,,,,,,,
Calder.40_1_0_DNA,sediment,,,,,,,
Calder.40_1_2_DNA,sediment,,,,,,,
Calder.40_1_20_DNA,sediment,,,,,,,
Calder.40_1_4_DNA,sediment,,,,,,,
Calder.41_1_0_DNA,sediment,,,,,,,
Calder.41_1_16_DNA,sediment,,,,,,,
Calder.41_1_18_DNA,sediment,,,,,,,
Calder.41_1_2_DNA,sediment,,,,,,,
Calder.41_1_20_DNA,sediment,,,,,,,
Calder.41_1_4_DNA,sediment,,,,,,,
Calder.42_1_0_DNA,sediment,,,,,,,
Calder.42_1_16_DNA,sediment,,,,,,,
Calder.42_1_18_DNA,sediment,,,,,,,
Calder.42_1_2_DNA,sediment,,,,,,,
Calder.42_1_20_DNA,sediment,,,,,,,
Calder.42_1_4_DNA,sediment,,,,,,,
Calder.43_1_0_DNA,sediment,,,,,,,
Calder.43_1_2_DNA,sediment,,,,,,,
Calder.43_1_4_DNA,sediment,,,,,,,
Calder.44_1_0_DNA,sediment,,,,,,,
Calder.44_1_16_DNA,sediment,,,,,,,
Calder.44_1_18_DNA,sediment,,,,,,,
Calder.44_1_2_DNA,sediment,,,,,,,
Calder.44_1_20_DNA,sediment,,,,,,,
Calder.44_1_4_DNA,sediment,,,,,,,
