"","sample_type_depth","Phylum","mean_percent"
"234","peat_deep","PAUC34f",0.00171595867971499
"235","peat_deep","Fusobacteriota",0.00125396980440711
"236","peat_deep","Margulisbacteria",0.00118797139364884
"237","peat_deep","NKB15",0.000989976161374034
"238","peat_deep","Deinococcota",0.000791980929099227
"239","peat_deep","Abditibacteriota",0.000461988875307883
"240","peat_deep","10bav-F6",0.000263993643033076
"241","peat_deep","Deferrisomatota",0.000263993643033076
"242","peat_deep","Hydrothermarchaeota",0.000263993643033076
"243","peat_deep","Poribacteria",0.000263993643033076
"244","peat_deep","DTB120",0.000197995232274807
"245","peat_deep","AncK6",0.000131996821516538
"246","peat_deep","TX1A-33",0.000131996821516538
"247","peat_deep","Iainarchaeota",6.59984107582689e-05
"248","peat_deep","Acetothermia",0
"249","peat_deep","BHI80-139",0
"250","peat_deep","MAT-CR-M4-B07",0
"251","peat_deep","Synergistota",0
"252","peat_deep","Thermotogota",0
"253","peat_surface","Proteobacteria",19.048359121964
"254","peat_surface","Chloroflexi",15.938725840643
"255","peat_surface","Actinobacteriota",14.6545266351277
"256","peat_surface","Acidobacteriota",14.1285224948557
"257","peat_surface","Planctomycetota",9.13323158791239
"258","peat_surface","Verrucomicrobiota",6.71496465848973
"259","peat_surface","Bacteroidota",3.48923591468305
"260","peat_surface","Myxococcota",2.64051125519865
"261","peat_surface","Desulfobacterota",1.68913458370374
"262","peat_surface","Unassigned",1.21542779701478
"263","peat_surface","Crenarchaeota",1.17299933482118
"264","peat_surface","Nitrospirota",1.03941961593694
"265","peat_surface","Patescibacteria",0.99784593961171
"266","peat_surface","Firmicutes",0.972357779173065
"267","peat_surface","Gemmatimonadota",0.670540659832524
"268","peat_surface","Methylomirabilota",0.582808546615359
"269","peat_surface","Latescibacterota",0.568976557109021
"270","peat_surface","Spirochaetota",0.455833991259426
"271","peat_surface","MBNT15",0.401516234714875
"272","peat_surface","Armatimonadota",0.385042179797214
"273","peat_surface","Bdellovibrionota",0.291093442082818
"274","peat_surface","Elusimicrobiota",0.284022031717218
"275","peat_surface","WPS-2",0.252550370199989
"276","peat_surface","Euryarchaeota",0.226052008280544
"277","peat_surface","NB1-j",0.183312714862084
"278","peat_surface","Cyanobacteria",0.176629843527561
"279","peat_surface","Nanoarchaeota",0.167304906781716
"280","peat_surface","RCP2-54",0.157047476361285
"281","peat_surface","Sva0485",0.150597728445409
"282","peat_surface","FCPU426",0.141272791699563
"283","peat_surface","Fibrobacterota",0.125575814844056
"284","peat_surface","Halobacterota",0.103273674460242
"285","peat_surface","Dependentiae",0.0843129697436886
"286","peat_surface","Thermoplasmatota",0.0792619623396888
"287","peat_surface","Sumerlaeota",0.0671395445700893
"288","peat_surface","Zixibacteria",0.0510540286835054
"289","peat_surface","Nitrospinota",0.0401749358133521
"290","peat_surface","Caldatribacteriota",0.0382322406579675
"291","peat_surface","Hydrogenedentes",0.0296066741680602
"292","peat_surface","WS2",0.0292181351369833
"293","peat_surface","WS1",0.0257212838572912
"294","peat_surface","Entotheonellaeota",0.025488160438645
"295","peat_surface","Micrarchaeota",0.0234677574770451
"296","peat_surface","Aenigmarchaeota",0.0225352638024605
"297","peat_surface","WOR-1",0.0215250623216606
"298","peat_surface","Altiarchaeota",0.0126663724131071
"299","peat_surface","WS4",0.0125886646068917
"300","peat_surface","TA06",0.0125109568006764
"301","peat_surface","Campylobacterota",0.0117338787385226
"302","peat_surface","Modulibacteria",0.00730453378424583
"303","peat_surface","Dadabacteria",0.00388539031076906
"304","peat_surface","Asgardarchaeota",0.00365226689212291
"305","peat_surface","Schekmanbacteria",0.00357455908590753
"306","peat_surface","Firestonebacteria",0.00279748102375372
"307","peat_surface","SAR324 clade(Marine group B)",0.00194269515538453
"308","peat_surface","Caldisericota",0.00178727954295377
"309","peat_surface","GAL15",0.00155415612430762
"310","peat_surface","Deinococcota",0.00132103270566148
"311","peat_surface","Cloacimonadota",0.00132103270566148
"312","peat_surface","Desantisbacteria",0.0012433248994461
"313","peat_surface","Hadarchaeota",0.00116561709323072
"314","peat_surface","Margulisbacteria",0.00101020148079996
"315","peat_surface","Abditibacteriota",0.000932493674584574
"316","peat_surface","Deferrisomatota",0.000932493674584574
"317","peat_surface","Fermentibacterota",0.000699370255938431
"318","peat_surface","Fusobacteriota",0.00069937025593843
"319","peat_surface","PAUC34f",0.00069937025593843
"320","peat_surface","Edwardsbacteria",0.000621662449723049
"321","peat_surface","CK-2C2-2",0.000388539031076906
"322","peat_surface","LCP-89",0.000388539031076906
"323","peat_surface","Calditrichota",0.000310831224861525
"324","peat_surface","TX1A-33",0.000155415612430762
"325","peat_surface","10bav-F6",7.77078062153812e-05
"326","peat_surface","AncK6",7.77078062153812e-05
"327","peat_surface","NKB15",7.77078062153812e-05
"328","peat_surface","Acetothermia",0
"329","peat_surface","BHI80-139",0
"330","peat_surface","DTB120",0
"331","peat_surface","Hydrothermarchaeota",0
"332","peat_surface","Iainarchaeota",0
"333","peat_surface","MAT-CR-M4-B07",0
"334","peat_surface","Poribacteria",0
"335","peat_surface","Synergistota",0
"336","peat_surface","Thermotogota",0
"337","soil_surface","Acidobacteriota",18.8179040077286
