"","sample_comparison","comm"
"756","sediment",0.0391212179610715
"757","sediment",0.196473308922721
"758","sediment",0.079591443438042
"759","soil-sediment",0.00722682597803048
"760","peat-sediment",0.0241857776064752
"761","sediment",0.0445172480246676
"762","soil-sediment",0.0263056465600309
"763","sediment",0.111196762381962
"764","peat-sediment",0.0624397764501831
"765","sediment",0.190113702062054
"766","soil-sediment",0.0162844478704953
"767","peat-sediment",0.0206205434573136
"768","sediment",0.0288109462324148
"769","peat-sediment",0.0484679128926575
"770","peat-sediment",0.0182116014646367
"771","peat-sediment",0.0640778570052033
"772","sediment",0.112738485257275
"773","sediment",0.0343033339757178
"774","sediment",0.205627288494893
"775","sediment",0.0769897860859511
"776","peat-sediment",0.0222586240123338
"777","sediment",0.244652148776258
"778","sediment",0.225187897475429
"779","peat-sediment",0.0913470803623049
"780","soil-sediment",0.0285218731932935
"781","sediment",0.0263056465600309
"782","sediment",0.0707265369049913
"783","sediment",0.095490460589709
"784","peat-sediment",0.105800732318366
"785","soil-sediment",0.0217768356137984
"786","sediment",0.17643091154365
"787","peat-sediment",0.000385430718828239
"788","sediment",0.18597032183465
"789","soil-sediment",0.0170553093081519
"790","peat-sediment",0.0277510117556369
"791","soil-sediment",0.0186933898631721
"792","sediment",0.107149739834265
