Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),,sample_id,,,Tann,Tmin,Tmax,MAP
MP2A,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP2A,1,,-0.5,-6.4,5.4,1160.76
MP2B,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP2B,1,,-0.5,-6.4,5.4,1160.76
MP3A,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP3A,1,,-0.5,-6.4,5.4,1160.76
MP3B,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP3B,1,,-0.5,-6.4,5.4,1160.76
MP4A,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP4A,1,,-0.5,-6.4,5.4,1160.76
MP4B,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP4B,1,,-0.5,-6.4,5.4,1160.76
Calder.SR010,-106.236,41.326,3065,Annual,858.27,-5.4,0.6,6.7,,Calder.SR0100L,0,,0.6,-5.4,6.7,858.27
Calder.SR011,-106.236,41.326,3065,Annual,858.27,-5.4,0.6,6.7,,Calder.SR0116L,0,,0.6,-5.4,6.7,858.27
Calder.SR011,-106.236,41.326,3065,Annual,858.27,-5.4,0.6,6.7,,Calder.SR0118L,0,,0.6,-5.4,6.7,858.27
Calder.SR012,-106.236,41.326,3065,Annual,858.27,-5.4,0.6,6.7,,Calder.SR0120L,0,,0.6,-5.4,6.7,858.27
SNOTEL.IOANA,-106.5025,41.3296,2599,Annual,667.26,-4.4,2.9,10.1,,SNOTEL.IOANA_C4,0,,2.9,-4.4,10.1,667.26
SNOTEL.IOANA,-106.5025,41.3296,2599,Annual,667.26,-4.4,2.9,10.1,,SNOTEL.IOANA_E4,0,,2.9,-4.4,10.1,667.26
SNOTEL.IOANA,-106.5025,41.3296,2599,Annual,667.26,-4.4,2.9,10.1,,SNOTEL.IOANA_G3,0,,2.9,-4.4,10.1,667.26
SNOTEL.IOANA,-106.38,41.3299,3057,Annual,1092.59,-5.5,0.5,6.6,,SNOTEL.IOANA_A11,0,,0.5,-5.5,6.6,1092.59
