"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.GG3A","MAWC.GG3A","peat",67,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",3,5,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG3B","MAWC.GG3B","peat",68,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",70,72,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG4A","MAWC.GG4A","peat",69,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",3,5,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG4B","MAWC.GG4B","peat",70,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",10,12,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG5A","MAWC.GG5A","peat",71,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",3,5,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG5B","MAWC.GG5B","peat",72,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",18,20,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM1A","MAWC.GM1A","peat",73,"Grand Mesa",NA,39.030716,-108.050431,3257,"",3,5,NA,"19.4","system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM1B","MAWC.GM1B","peat",74,"Grand Mesa",NA,39.030716,-108.050431,3257,"",38,40,NA,"19.4","system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM2A","MAWC.GM2A","peat",75,"Grand Mesa",NA,39.030716,-108.050431,3257,"",3,5,NA,"19.4","system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM3A","MAWC.GM3A","peat",76,"Grand Mesa",NA,39.030716,-108.050431,3257,"",3,5,NA,"19.4","system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GM3B","MAWC.GM3B","peat",77,"Grand Mesa",NA,39.030716,-108.050431,3257,"",36,38,NA,"19.4","system water temperature",1,-5.1,7.2,1188.77,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB1A","MAWC.LB1A","peat",78,"Little Bear",NA,44.937367,-109.517463,2915,"",3,5,NA,"18.9","system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB2A","MAWC.LB2A","peat",79,"Little Bear",NA,44.937367,-109.517463,2915,"",3,5,NA,"18.9","system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LB2B","MAWC.LB2B","peat",80,"Little Bear",NA,44.937367,-109.517463,2915,"",11,13,NA,"18.9","system water temperature",-0.4,-6.3,5.5,973.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
